datetime,longitude,latitude,water_level,significant_wave_height,wind_speed,distance_from_land,water_depth,satellite,quality,absolute_dynamic_topography,water_level_rms,significant_wave_height_raw,significant_wave_height_rms,wind_speed_raw,wind_speed_rads
2017-10-27 12:52:52.309,2.4311516,51.2011899,-0.489099999967593,1.20253491401672,7.21051914169272,14834.5971835739,-12.5713009929823,c2,1,0.5101,0.033999998,1.1750001,0.34500003,7.23869994261094,6.41
2017-10-27 12:52:53.253,2.4220976,51.2581071,-0.458500000072831,1.42007219791412,8.1256402798592,20719.1444665665,-13.6427046522658,c2,0,0.5103,0.067,1.4120001,0.46600002,8.13940972427086,7.2599998
2017-10-27 12:52:54.196,2.4130308,51.3150235,-0.438900000059789,1.22266948223114,7.91315546533194,26602.7949126685,-22.6664687642006,c2,0,0.4881,0.027999999,1.197,0.28,7.93027112729522,7.0499997
2017-10-27 12:52:55.140,2.4039514,51.3719391,-0.466700000018257,1.47628819942474,8.05474427689693,32220.0315411299,-28.8109550871913,c2,0,0.4127,0.037,1.473,0.38500002,8.06963019379619,7.18
2017-10-27 12:52:56.083,2.3948593,51.4288539,-0.407599999951202,1.49935400485992,7.91315546533194,38046.1308841108,-29.7341182127566,c2,0,0.4213,0.035,1.498,0.293,7.93027112729522,7.0299997
2017-10-27 12:52:57.027,2.3857544,51.4857678,-0.419299999941892,1.60658323764801,8.23210079027501,43744.3508191242,-31.9329086108313,c2,0,0.3567,0.040999997,1.6140001,0.30200002,8.24419369121556,7.35
2017-10-27 12:52:57.970,2.3766366,51.5426808,-0.384599999921392,1.58899688720703,8.33870341798783,49492.3371063923,-32.7434658408056,c2,0,0.3429,0.049999997,1.595,0.29900002,8.34911753738959,7.47
2017-10-27 12:52:58.913,2.3675059,51.599593,-0.310800000032231,1.56587088108063,8.19659712928298,55367.0047270728,-31.0,c2,0,0.3686,0.037,1.57,0.294,8.20924914299506,7.3399997
2017-10-27 12:52:59.857,2.3583622,51.6565043,-0.258999999976339,1.52982497215271,8.01932429129302,60798.2482007791,-38.030150867063,c2,0,0.3711,0.040999997,1.531,0.35900003,8.03476800324116,7.1499996
2017-10-27 12:53:00.800,2.3492055,51.7134148,-0.214099999981926,1.59732627868652,8.16111247715373,66171.0999367577,-38.0,c2,0,0.3656,0.026999999,1.6040001,0.24900001,8.17432330428517,7.2999997
2017-10-27 12:53:01.744,2.3400357,51.7703244,-0.184099999970748,1.52613019943237,7.77184539178111,63210.2990104022,-39.3370306801279,c2,0,0.3455,0.031999998,1.5270001,0.323,7.79118640923338,6.91
2017-10-27 12:53:02.687,2.3308527,51.8272331,-0.131700000072641,1.69000828266144,7.77184539178111,59352.2606916477,-43.0034469303494,c2,0,0.3499,0.044,1.7040001,0.372,7.79118640923338,6.94
2017-10-27 12:53:03.631,2.3216566,51.884141,-0.0632000000931257,1.62695741653442,7.77184539178111,55954.0798895018,-43.6905924425555,c2,0,0.37,0.047,1.636,0.33800003,7.79118640923338,6.92
2017-10-27 12:53:04.574,2.3124471,51.941048,-0.0262999999822995,1.64178264141083,7.80714678943137,53106.9996545637,-48.2968138481774,c2,0,0.3575,0.047,1.6520001,0.24900001,7.82593187936159,6.96
2017-10-27 12:53:05.518,2.3032243,51.9979543,0.0093999999906984,1.72807955741882,6.25554917081442,50690.9529524694,-48.7290080809581,c2,0,0.3449,0.046,1.7450001,0.44000003,6.29876886891183,5.62
2017-10-27 12:53:06.461,2.2939882,52.0548596,0.0454999999972188,1.77084314823151,6.74443852166576,48707.4657925939,-55.6095588764583,c2,0,0.3376,0.085999995,1.7910001,0.469,6.77995917486788,6.04
2017-10-27 12:53:06.461,2.2939882,52.0548596,0.0364999999925644,1.46429991722107,7.94852796642249,48707.4657925939,-55.6095588764583,c2,2,0.3286,0.081,1.46,0.363,7.96508658112449,7.0899997
2017-10-27 12:53:07.404,2.2847386,52.111764,0.107899999988831,1.60288023948669,6.84121131158893,46565.2206325113,-49.4310321413475,c2,0,0.3595,0.046,1.6100001,0.43100002,6.87520798384737,6.1299996
2017-10-27 12:53:08.348,2.2754755,52.1686676,0.144200000067052,1.84347546100616,8.05474427689693,44133.1909520182,-51.0,c2,0,0.3592,0.036,1.8690001,0.37100002,8.06963019379619,7.2
2017-10-27 12:53:09.291,2.2661988,52.2255703,0.207299999997204,1.66032290458679,8.37426409381571,41447.5448720121,-50.2467281287166,c2,0,0.39,0.036,1.672,0.38700002,8.38411820257451,7.52
2017-10-27 12:53:10.235,2.2569084,52.2824722,0.238500000048063,1.71786105632782,8.37426409381571,38358.0658701983,-52.7065995796474,c2,0,0.3935,0.04,1.7340001,0.337,8.38411820257451,7.5
2017-10-27 12:53:11.178,2.2476044,52.3393732,0.277499999993104,1.63992917537689,8.05474427689693,36073.3399957693,-51.806636008853,c2,0,0.4087,0.039,1.6500001,0.25300002,8.06963019379619,7.2
2017-10-27 12:53:12.122,2.2382866,52.3962733,0.306400000069488,1.61213874816895,8.51666089474822,33360.6271597771,-37.6884340878751,c2,0,0.4141,0.042999998,1.6200001,0.39200002,8.524272534201,7.64
2017-10-27 12:53:13.065,2.2289549,52.4531725,0.333399999998704,1.73551297187805,8.26761986455337,31629.1158669754,-38.8558834084973,c2,0,0.4178,0.058,1.7530001,0.333,8.27915340999348,7.3799996
2017-10-27 12:53:14.008,2.2196094,52.5100709,0.39109999990837,1.81179666519165,8.37426409381571,31128.2805525745,-41.0,c2,0,0.4497,0.036,1.835,0.29700002,8.38411820257451,7.5099998
2017-10-27 12:53:14.952,2.2102499,52.5669685,0.370300000045269,1.88451421260834,8.23210079027501,31873.1428366484,-39.9768854867258,c2,0,0.4041,0.06,1.9130001,0.32900003,8.24419369121556,7.3799996
2017-10-27 12:53:15.895,2.2008764,52.6238651,0.414299999997766,1.82017958164215,8.0901841397762,30873.3216830186,-36.0,c2,0,0.4309,0.038,1.8440001,0.291,8.10451194859862,7.22
2017-10-27 12:53:16.839,2.1914888,52.6807609,0.434900000037437,1.88451421260834,8.7306684022112,30851.0653788313,-33.5430378222663,c2,0,0.4342,0.033,1.9130001,0.34500003,8.73490984469606,7.8399997
2017-10-27 12:53:17.782,2.182087,52.7376559,0.469299999999258,1.80620932579041,8.33870341798783,31928.0115098845,-25.2603836472915,c2,0,0.4526,0.053,1.8290001,0.33600003,8.34911753738959,7.48
2017-10-27 12:53:18.726,2.172671,52.7945499,0.487699999994604,1.96018815040588,8.55229594853135,33160.1638054564,-37.8927707201543,c2,0,0.4621,0.049999997,1.9940001,0.34,8.55934640603479,7.69
2017-10-27 12:53:19.669,2.1632408,52.8514431,0.482399999985283,1.82390582561493,8.76638241417995,34585.4955453279,-39.3225577680278,c2,0,0.4531,0.049,1.848,0.38300002,8.77006143127948,7.8799996
2017-10-27 12:53:20.613,2.1537961,52.9083354,0.483800000070971,1.83881509304047,8.94513020196056,37057.6379269732,-27.7944099101664,c2,0,0.4535,0.038,1.8640001,0.358,8.94599429326827,8.059999
2017-10-27 12:53:21.556,2.1443371,52.9652268,0.475499999997396,1.85186588764191,8.48104304647033,40340.7615632159,-38.2950573776834,c2,0,0.4437,0.029,1.8780001,0.323,8.48921559691962,7.62
2017-10-27 12:53:22.499,2.1348636,53.0221175,0.464600000009504,1.83881509304047,9.05252456317525,43655.4439215411,-27.7082727130019,c2,0,0.4317,0.053,1.8640001,0.356,9.05169740470004,8.15
2017-10-27 12:53:23.443,2.1253755,53.0790071,0.492399999985288,1.67516231536865,8.76638241417995,47593.2451557518,-33.7027538593955,c2,0,0.4583,0.053,1.6880001,0.455,8.77006143127948,7.8799996
2017-10-27 12:53:24.386,2.1158728,53.135896,0.453599999978394,1.72900855541229,8.33870341798783,51614.9454490133,-27.7333554275574,c2,0,0.4168,0.042,1.746,0.36,8.34911753738959,7.45
2017-10-27 12:53:25.330,2.1063554,53.1927838,0.495500000057547,1.95457708835602,8.83784445298605,55992.279993552,-32.4137419726285,c2,0,0.4507,0.042999998,1.988,0.316,8.84039808364769,7.93
2017-10-27 12:53:26.273,2.0968232,53.2496709,0.478600000050108,1.70950281620026,8.80210555081065,60435.6246113653,-40.0,c2,0,0.4302,0.04,1.725,0.365,8.80522199882938,7.9199996
2017-10-27 12:53:27.217,2.0872762,53.3065571,0.446200000095736,1.83415520191193,8.69496709807383,64569.8209188367,-32.445938377823,c2,0,0.401,0.048,1.8590001,0.41500002,8.6997707658207,7.8199997
2017-10-27 12:53:28.160,2.0777143,53.3634424,0.429599999905747,1.75224375724792,8.40984275166529,68879.7109164866,-26.8773287409986,c2,0,0.3892,0.04,1.771,0.28300002,8.41913656659969,7.5499997
2017-10-27 12:53:29.103,2.0681374,53.4203268,0.432900000036135,1.78107702732086,8.5879446220291,73489.1481644342,-29.0557812315496,c2,0,0.3953,0.037,1.802,0.42100003,8.59443368309951,7.72
2017-10-27 12:53:30.047,2.0585455,53.4772103,0.425099999976531,1.71321737766266,8.48104304647033,78343.9185230845,-23.4799716933776,c2,0,0.3902,0.044999998,1.7290001,0.37600002,8.48921559691962,7.58
2017-10-27 12:53:30.990,2.0489385,53.534093,0.433599999997952,1.83601903915405,8.90935865247992,83235.7308330459,-26.7601696692324,c2,0,0.4006,0.042999998,1.8610001,0.33200002,8.91078607527551,8.0
2017-10-27 12:53:31.934,2.0393162,53.5909748,0.42089999996405,1.8257691860199,9.19586981392105,88287.6588007853,-34.6659780920654,c2,0,0.391,0.042999998,1.8500001,0.22100002,9.19278524992229,8.309999
2017-10-27 12:53:32.877,2.0296788,53.6478556,0.418699999964048,1.8071403503418,9.33938459614314,93475.8539962706,-29.6225624884173,c2,0,0.3925,0.031,1.83,0.24200001,9.3340399568338,8.44
2017-10-27 12:53:33.821,2.0200259,53.7047357,0.376399999945427,1.85559546947479,9.30348966872038,98678.3083170957,-26.7477780501756,c2,0,0.3577,0.042,1.8820001,0.386,9.29871030385864,8.41
2017-10-27 12:53:34.764,2.0103577,53.7616148,0.350699999985473,1.70764565467834,9.48305960189899,103907.33887993,-22.2876215802935,c2,0,0.3447,0.033999998,1.723,0.354,9.47545236407381,8.59
2017-10-27 12:53:35.707,2.000674,53.818493,0.311699999951948,1.63714909553528,9.01671502428484,109255.074020246,-26.1023603823715,c2,0,0.3192,0.038,1.6470001,0.31300002,9.01645179555594,8.11
2017-10-27 12:53:36.651,1.9909748,53.8753703,0.282999999975232,1.67423462867737,8.37426409381571,114706.629336045,-25.2739284230116,c2,0,0.3055,0.035,1.687,0.33200002,8.38411820257451,7.48
2017-10-27 12:53:37.594,1.9812599,53.9322468,0.31509999994077,1.83042788505554,9.23173384304341,120248.36661648,-32.7611837107983,c2,0,0.3541,0.031999998,1.8550001,0.33200002,9.22808449118446,8.32
2017-10-27 12:53:38.538,1.9715293,53.9891224,0.286100000077305,1.83415520191193,9.66286612353633,125867.962260276,-48.0050062911632,c2,0,0.3419,0.040999997,1.8590001,0.33,9.6524272869452,8.74
2017-10-27 12:53:39.481,1.9617829,54.0459971,0.296800000000005,1.89104747772217,9.91495992400494,128698.670646173,-74.3083689421833,c2,0,0.3685,0.023,1.9200001,0.316,9.90055110630407,8.98
2017-10-27 12:53:40.425,1.9520207,54.1028708,0.294299999959961,1.77084314823151,9.80687004261357,130525.038471105,-67.9970919853826,c2,0,0.381,0.053,1.7910001,0.404,9.79416342776927,8.88
2017-10-27 12:53:41.368,1.9422425,54.1597437,0.272000000028875,1.71693217754364,9.48305960189899,132416.830290788,-20.8385568158574,c2,0,0.374,0.051999997,1.733,0.26900002,9.47545236407381,8.559999
2017-10-27 12:53:42.312,1.9324484,54.2166157,0.257700000016776,1.70671725273132,9.59091481640452,132249.593137082,-38.3476974779425,c2,0,0.374,0.044999998,1.7220001,0.19700001,9.58160907126429,8.69
2017-10-27 12:53:43.255,1.9226381,54.2734868,0.230900000016774,1.73179590702057,9.59091481640452,132216.37714041,-32.863099402537,c2,0,0.3607,0.047,1.7490001,0.22200002,9.58160907126429,8.67
2017-10-27 12:53:44.198,1.9128117,54.3303571,0.192200000002799,1.89478135108948,9.08834189221248,132490.30196782,-35.3602312010808,c2,0,0.3366,0.044999998,1.9240001,0.33200002,9.08695068131149,8.19
2017-10-27 12:53:45.142,1.902969,54.3872264,0.226800000041912,1.7048602104187,9.12417368726408,133067.994862958,-33.8799745394302,c2,0,0.3875,0.049999997,1.72,0.35700002,9.12221819612606,8.21
2017-10-27 12:53:46.085,1.89311,54.4440949,0.206200000019187,1.6695967912674,8.80210555081065,133946.351882034,-25.8470652733974,c2,0,0.3822,0.033999998,1.682,0.30100003,8.80522199882938,7.8999996
2017-10-27 12:53:47.029,1.8832347,54.5009624,0.21650000004712,1.64456307888031,9.23173384304341,135120.635345604,-16.4620883213865,c2,0,0.4064,0.036,1.6550001,0.36400002,9.22808449118446,8.34
2017-10-27 12:53:47.972,1.8733428,54.557829,0.223299999923263,1.67052435874939,9.26760489597527,136581.310172574,-17.4809508400958,c2,0,0.4252,0.035,1.6830001,0.28500003,9.26339064564496,8.36
2017-10-27 12:53:48.916,1.8634344,54.6146947,0.200200000013588,1.67052435874939,9.77085542142677,138319.637784822,-22.0,c2,0,0.4139,0.027999999,1.6830001,0.303,9.75871596597123,8.84
2017-10-27 12:53:49.859,1.8535093,54.6715595,0.149899999982864,1.69372057914734,9.66286612353633,140327.150365437,-18.5389041132837,c2,0,0.3768,0.03,1.7080001,0.30200002,9.6524272869452,8.76
2017-10-27 12:53:50.802,1.8435675,54.7284235,0.176600000014531,1.82204258441925,9.37528953567974,142590.415079882,-27.0142031239216,c2,0,0.4147,0.046,1.8460001,0.40800002,9.36937946425171,8.46
2017-10-27 12:53:51.746,1.8336089,54.7852865,0.130999999999624,1.87891519069672,9.37528953567974,145074.130805206,-20.9688276147699,c2,0,0.3803,0.039,1.9070001,0.215,9.36937946425171,8.48
2017-10-27 12:53:52.689,1.8236334,54.8421486,0.109100000005213,1.76433217525482,9.37528953567974,147763.806386513,-18.681697680662,c2,0,0.3687,0.023,1.784,0.29200003,9.36937946425171,8.49
2017-10-27 12:53:53.633,1.813641,54.8990098,0.0826999999526876,1.73923015594482,9.59091481640452,150674.420201519,-23.4294881127268,c2,0,0.3519,0.053,1.7570001,0.41500002,9.58160907126429,8.69
2017-10-27 12:53:54.576,1.8036315,54.95587,0.0810999999675843,1.7596822977066,9.66286612353633,153793.330187291,-23.7085923865172,c2,0,0.3598,0.049,1.779,0.307,9.6524272869452,8.76
2017-10-27 12:53:55.520,1.7936048,55.0127294,0.0338000000215999,1.86212348937988,9.51900320038858,157109.330010746,-27.9804612971382,c2,0,0.3199,0.049999997,1.889,0.367,9.5108299216423,8.62
2017-10-27 12:53:56.463,1.7835609,55.069588,0.0305999999703772,1.79224479198456,9.48305960189899,160609.480232164,-29.5542669609858,c2,0,0.3238,0.031,1.8140001,0.31800002,9.47545236407381,8.58
2017-10-27 12:53:57.407,1.7734998,55.1264455,0.0128999999815633,1.95925307273865,9.55495269667287,164281.639696744,-34.7287450558673,c2,0,0.3115,0.031,1.9930001,0.34600002,9.54621328412684,8.65
2017-10-27 12:53:58.350,1.7634212,55.1833022,-0.0023999999858404,1.92840385437012,9.59091481640452,168115.254243503,-32.6342933201669,c2,0,0.3019,0.048,1.96,0.358,9.58160907126429,8.66
2017-10-27 12:53:59.293,1.7533251,55.2401579,0.0120000000299925,2.01260113716125,9.84288954919672,171041.787025292,-34.2976750190428,c2,0,0.322,0.033,2.0500002,0.35200003,9.82961569802826,8.929999
